Species
Cattleya coccinea
Cattleya hoehnei
Cattleya lobata
Christensonella pumila
Christensonella subulata
Cleistes libonii
Cyrtopodium flavum
Cyrtopodium glutiniferum
Elleanthus brasiliensis
Encyclia spiritusanctensis
Epidendrum ammophilum
Epidendrum campaccii
Epidendrum densiflorum
Epidendrum denticulatum
Epidendrum martianum
Epidendrum robustum
Epidendrum secundum
Gomesa majevskyae
Gomesa ramosa
Gomesa uniflora 
Habenaria parviflora
Habenaria rupicola
Isochilus brasiliensis
Laelia gloriosa
Maxillaria marginata
Octomeria crassifolia
Octomeria praestans
Octomeria tricolor
Pabstiella muricatifolia
Polystachya concreta
Prescottia montana
Prescottia oligantha
Prescottia plantaginifolia
Prescottia spiranthophylla
Prescottia stachyodes
Pseudolaelia aromatica
Pseudolaelia ataleiensis
Pseudolaelia brejetubensis
Pseudolaelia canaanensis
Pseudolaelia citrina
Pseudolaelia corcovadensis
Pseudolaelia dutrae
Pseudolaelia geraensis
Pseudolaelia pitengoensis
Pseudolaelia vellozicola
Rhetinantha notylioglossa
Sacoila lanceolata
Scaphyglottis modesta
Vanilla bahiana
Vanilla chamissonis
Zygopetalum maculatum
Esterhazya splendida
Margaritaria nobilis
Phyllanthus subemarginatus
Peperomia ciliato-caespitosa
Peperomia galioides
Peperomia incana
Achetaria crenata
Achetaria platychila
Scoparia dulcis
Andropogon bicornis
Andropogon selloanus
Apochloa lutzii
Axonopus graniticola
Digitaria insularis
Echinolaena inflexa
Ichnanthus bambusiflorus
Ichnanthus dasycoleus
Ichnanthus lancifolius
Megathyrsus maximus
Melinis minutiflora
Melinis repens
Paspalum coryphaeum
Paspalum notatum
Paspalum paniculatum
Paspalum pilosum
Setaria parviflora
Bredemeyera atlantica
Polygala glochidata
Polygala paniculata
Portulaca hirsutissima
Portulaca mucronata
Portulaca oleracea
Portulaca pilosa
Myrsine venosa
Borreria capitata
Borreria cupularis
Borreria ocymifolia
Borreria verticillata
Bradea borrerioides
Bradea brasiliensis
Bradea kuhlmannii
Emmeorhiza umbellata
Hexasepalum teres
Melananthus fasciculatus
Schwenckia nova-veneciana
Solanum americanum
Solanum kollastrum
Solanum swartzianum
Talinum fruticosum
Talinum paniculatum
Turnera involucrata
Turnera rubrobracteata
Cecropia pachystachya
Pilea microphylla
Barbacenia pabstiana
Barbacenia purpurea
Barbacenia rogieri
Barbacenia spectabilis
Barbacenia squamata
Barbacenia tomentosa
Vellozia albiflora
Vellozia bahiana
Vellozia candida
Vellozia plicata
Vellozia pulchra
Vellozia variegata
Lantana camara
Lantana tiliaefolia
Lippia diversifolia
Lippia origanoides
Stachytarpheta cayennensis
Stachytarpheta gesnerioides
Stachytarpheta tomentosa
Rinorea laevigata
